,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
ENSSSCG00000000001,23.78903783,25.96630776,26.40575853,24.94138728,24.83803403,23.91762243,26.92230916,25.63823199,25.43061485,25.84424598,25.46133205,26.58779325,23.45448543,25.23074715,26.59430122,23.07815929,24.06102142,26.78336919,23.23986516,24.93219372,25.77205569,26.07388394,26.54064456,26.84065822,24.26547305,24.65633371,23.95635406,25.36434795,22.98276092,24.92110727,24.15287538,22.90445847,23.81946956,26.54333383,26.19571118,26.81190824
ENSSSCG00000000002,23.83412572,24.51838197,23.82487721,24.59237965,24.24699702,24.55056496,25.2252363,23.67266549,23.70732419,23.77626918,24.22254519,23.3522799,23.89336967,24.65985983,23.48252797,24.66312179,24.67945863,23.37134044,24.11113185,26.61239402,24.38054672,24.36474203,24.50615618,23.09649713,24.90166088,24.95994993,25.19655776,23.60214507,24.16718549,24.53233542,24.56251962,24.14008672,24.57726866,24.62620801,24.33031564,23.54475437
ENSSSCG00000000003,28.13030072,27.7129954,28.17705159,28.21358326,28.45398044,28.3019526,28.11276157,28.17956247,27.99202828,28.0241967,28.22854393,28.12200245,27.98361227,28.28964083,28.58593236,28.08666362,28.1072616,28.35825697,27.97902831,27.94491723,28.24145111,28.28025219,28.09241084,27.84219546,28.41497534,28.44594079,28.4014589,28.17408356,28.04296555,27.78884811,28.14613065,27.87358965,27.66199134,28.13323284,27.89439941,28.00032335
ENSSSCG00000000005,25.14267479,24.95082252,24.8610974,24.73676956,25.47459773,25.47443389,25.73543103,25.04277712,24.63761522,25.04141125,25.17363559,24.46517396,24.43836576,25.0501749,24.83616493,24.27809686,24.89995899,24.79835058,24.62378014,25.29223719,24.89001902,24.85479288,24.78717633,25.02249655,25.16655803,25.04182694,25.04750195,24.37266322,24.73278267,24.19920912,24.6566418,24.89277667,25.09339228,24.92839217,24.68178801,24.92761146
ENSSSCG00000000006,24.88857351,25.03155379,26.07666048,26.2172809,26.39854349,25.70996479,25.64681664,26.3241234,26.15432942,25.81989611,25.68721346,26.10094083,26.45848736,26.09748061,26.52595025,25.91855448,27.00667132,26.25017475,26.32939638,25.23812978,25.77205569,25.97115764,26.82186575,26.17178526,26.2523774,25.52725376,25.97195092,25.59505564,26.00982916,26.22244143,26.9602303,26.01095809,26.49343707,26.41948775,25.95883451,26.02714714
ENSSSCG00000000007,27.20192687,26.63601246,26.65991058,26.80715889,26.94039575,27.18630851,27.03633362,26.65555147,26.69021017,26.97955278,26.9566225,26.31403244,26.70746617,26.62799533,26.61638372,26.86022777,27.09862637,26.88791597,27.01930427,26.53222367,26.78172742,26.68017149,26.59999257,26.97002913,26.55221172,26.7415011,26.99503453,26.80930297,26.90126281,26.83026804,26.61426319,26.9073642,26.7762021,26.73087037,26.83865686,26.61716286
ENSSSCG00000000010,30.30035124,30.762434,30.66226461,30.20087767,29.48576453,30.28305734,29.76091227,30.59332732,30.41011762,29.65116966,30.01782728,30.69109401,30.98794495,29.45969156,30.06581972,29.75935021,29.99175876,29.66779785,29.75691035,29.73507895,29.73644188,30.25669635,31.28906635,30.3167718,29.97424533,29.91686126,30.94207228,29.88718457,29.87168862,29.60705624,30.03989134,30.47798351,30.28574072,30.73838178,30.51786681,30.42523823
ENSSSCG00000000014,25.50524487,25.51136154,25.84310097,25.47373515,25.8915835,25.96391609,25.71066312,25.32844933,25.72759659,25.3442586,26.0216325,25.45739661,25.46247822,24.96204399,25.28529563,25.53404184,25.84791224,25.47194438,25.68321306,26.10841596,25.70586541,25.40470844,25.76789727,25.6883133,25.34164474,25.39329931,25.6616108,25.73061962,25.63185376,25.5977585,25.32519093,25.62974226,25.11492544,25.59075917,25.56685224,25.23865124
ENSSSCG00000000018,29.10465466,29.54483827,29.60978927,30.46986561,30.04026077,29.89357421,29.17349733,29.85651151,29.50541385,30.35038132,29.41526541,29.53195759,30.59585464,29.80030495,29.8835971,30.12343932,30.26855137,29.84057524,30.21630704,30.45945521,30.1501318,30.17412179,29.93602407,29.7885895,30.12075434,30.31132446,29.893248,29.45670793,29.79984148,30.02617025,30.42468679,30.60556926,30.6817406,30.52396537,29.55403999,29.85211146
ENSSSCG00000000019,25.81738246,25.92463858,25.48912862,25.53822388,25.71800333,25.82590626,25.89783307,26.13950189,25.85592069,25.96018746,25.85791264,26.22522317,25.86349914,25.45717508,25.33940303,25.91855448,25.91689885,25.60058654,25.92123215,26.00420497,25.75905835,26.16047163,25.9269993,26.15208946,26.01455494,26.01673596,25.73657286,26.03300753,25.63185376,26.13699373,25.47049048,25.64374912,25.97474778,25.5470378,25.76388909,25.95447807
