GSM,title,geo_accession,source_name_ch1,tissue,biological_state,Sex,status,submission_date,last_update_date,type,channel_count,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,molecule_ch1,extract_protocol_ch1,extract_protocol_ch1.1,taxid_ch1,data_processing,data_processing.1,data_processing.2,data_processing.3,data_processing.4,data_processing.5,data_processing.6,data_processing.7,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,relation.1,supplementary_file_1,biological_state:ch1,Sex:ch1,tissue:ch1
GSM1501205,1_SusScrofa,GSM1501205,subcuteneous adipose tissue,subcuteneous adipose,Low,f,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Low,Sex: f,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698199,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031512,NONE,Low,f,subcuteneous adipose
GSM1501206,2_SusScrofa,GSM1501206,subcuteneous adipose tissue,subcuteneous adipose,Low,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Low,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698200,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031513,NONE,Low,m,subcuteneous adipose
GSM1501207,3_SusScrofa,GSM1501207,subcuteneous adipose tissue,subcuteneous adipose,Low,f,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Low,Sex: f,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698201,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031514,NONE,Low,f,subcuteneous adipose
GSM1501208,4_SusScrofa,GSM1501208,subcuteneous adipose tissue,subcuteneous adipose,Low,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Low,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698202,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031515,NONE,Low,m,subcuteneous adipose
GSM1501209,5_SusScrofa,GSM1501209,subcuteneous adipose tissue,subcuteneous adipose,Low,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Low,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698203,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031516,NONE,Low,m,subcuteneous adipose
GSM1501210,6_SusScrofa,GSM1501210,subcuteneous adipose tissue,subcuteneous adipose,Low,f,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Low,Sex: f,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698204,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031517,NONE,Low,f,subcuteneous adipose
GSM1501211,7_SusScrofa,GSM1501211,subcuteneous adipose tissue,subcuteneous adipose,Low,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Low,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698205,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031511,NONE,Low,m,subcuteneous adipose
GSM1501212,8_SusScrofa,GSM1501212,subcuteneous adipose tissue,subcuteneous adipose,Low,f,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Low,Sex: f,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698206,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031518,NONE,Low,f,subcuteneous adipose
GSM1501213,9_SusScrofa,GSM1501213,subcuteneous adipose tissue,subcuteneous adipose,Low,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Low,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698207,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031519,NONE,Low,m,subcuteneous adipose
GSM1501214,10_SusScrofa,GSM1501214,subcuteneous adipose tissue,subcuteneous adipose,Low,m,Public on Jan 15 2015,Sep 09 2014,May 15 2019,SRA,1,Sus scrofa,tissue: subcuteneous adipose,biological_state: Low,Sex: m,total RNA,Rneasy lipid Mini kit,TruSeq RNA Sample Prep (Illumina),9823,Alignment: STAR,"Filtering: SAM flag 1792 (not primary alignment, read fails platform/vendor quality checks, read is PCR or optical duplicate)",Count reads: HTSeq,Library size factor estimation: DESeq,"Normalization of reads: voom (limma), samples were corrected for gender",Filter of reads with expression lower than 5,Genome_build: SScrofa10.2.72,Supplementary_files_format_and_content: comma seperated files with raw and normalized counts,GPL19176,"Haja,N,Kadarmideen",hajak@dtu.dk,"Quantitative Genomics, Bioinformatics & Computational Biology (QBC) Group",Department of Applied Mathematics and Computer Science,Technical University of Denmark,"Richard Petersens Plads, Building 324",Kongens Lyngby,2800,Denmark,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX698208,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03031520,NONE,Low,m,subcuteneous adipose
