"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.539911855780128,-0.0304266127278147,8.19899231885613,1.9004862411805e-10,9.50243120590249e-09,13.6341027728008,TRUE
"HALLMARK_IL2_STAT5_SIGNALING",0.378851001787435,-0.033247471579909,7.7342755151481,8.95186523295618e-10,2.23796630823905e-08,12.0983159137423,TRUE
"HALLMARK_MITOTIC_SPINDLE",0.479687662821477,-0.0100976191550302,7.22139944207449,5.045370545984e-09,8.40895090997333e-08,10.3859849758821,TRUE
"HALLMARK_INFLAMMATORY_RESPONSE",0.487868858376129,-0.0295006892329181,6.82882427877033,1.91384942356869e-08,2.39231177946086e-07,9.06719349784559,TRUE
"HALLMARK_G2M_CHECKPOINT",0.312116074729886,-0.03420484390524,6.03263631139281,2.88648182192061e-07,2.46938856336656e-06,6.38913296877321,TRUE
"HALLMARK_ALLOGRAFT_REJECTION",0.459906099373965,-0.0225957639824802,6.02492499198834,2.96326627603987e-07,2.46938856336656e-06,6.3632743377751,TRUE
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.397599719948627,-0.0333878790439995,5.74429513472287,7.69147993425874e-07,5.10752866517592e-06,5.42466523097376,TRUE
"HALLMARK_APOPTOSIS",0.285002959367803,-0.0316640888142568,5.7264251240547,8.17204586428147e-07,5.10752866517592e-06,5.36508604298537,TRUE
"HALLMARK_COMPLEMENT",0.34442919253645,-0.0284254217313624,5.6016855210219,1.24685579919548e-06,6.56958625063085e-06,4.94997321665054,TRUE
"HALLMARK_COAGULATION",0.265197968059862,-0.0161876208840085,5.58619604390217,1.31391725012617e-06,6.56958625063085e-06,4.89852784115475,TRUE
"HALLMARK_KRAS_SIGNALING_UP",0.293694914446541,-0.023764068312591,5.54972997061925,1.48627964541636e-06,6.75581657007438e-06,4.77750741829228,TRUE
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.363923603986351,-0.0279226324521216,5.47772343344245,1.89527445569746e-06,7.89697689873941e-06,4.53894864187018,TRUE
"HALLMARK_ANGIOGENESIS",0.361039391356446,-0.026799837653958,5.40223386443156,2.44423020944966e-06,9.40088542096021e-06,4.28947753322233,TRUE
"HALLMARK_APICAL_JUNCTION",0.272285349053149,-0.0234484249892894,4.98106997277918,9.98985655068993e-06,3.56780591096069e-05,2.91202044224581,TRUE
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.375854541427812,-0.0327833099357806,4.6123622365754,3.3551620612085e-05,0.000111838735373617,1.73207447901496,TRUE
"HALLMARK_MYC_TARGETS_V1",-0.412396029879523,-0.0382606168714318,-4.54853552188345,4.12765041378892e-05,0.000128989075430904,1.53087385181543,TRUE
"HALLMARK_TGF_BETA_SIGNALING",0.285861562073346,-0.0268138410883437,4.5148627623509,4.60290900552561e-05,0.000135379676633106,1.42513275507876,TRUE
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",-0.528427480689304,-0.030645567195767,-4.43554103611753,5.94442282912892e-05,0.000157881397961733,1.17719365850056,TRUE
"HALLMARK_FATTY_ACID_METABOLISM",-0.387571224779453,-0.0209140655528198,-4.43267310250246,5.99949312254586e-05,0.000157881397961733,1.16826030676373,TRUE
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.181192295800554,-0.0294756603944749,3.82635026876017,0.000402113833781609,0.00100528458445402,-0.664080360240394,TRUE
"HALLMARK_PANCREAS_BETA_CELLS",-0.175947990045122,-0.0022710993275345,-3.57576658910992,0.000854543087114989,0.00203462639789283,-1.38278135803501,TRUE
"HALLMARK_DNA_REPAIR",-0.262533145604231,-0.0390613805982137,-3.47735261180319,0.00114196195551752,0.00259536808072163,-1.65778096693301,TRUE
"HALLMARK_ADIPOGENESIS",-0.319486966800466,-0.0205665166679608,-3.05470576270717,0.00379466547995558,0.00824927278251213,-2.7862361294863,TRUE
"HALLMARK_HYPOXIA",0.115281721620393,-0.0349764671834064,2.84529980222329,0.00667946481465319,0.0139155516971942,-3.31025418011652,TRUE
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.150282248244157,-0.0293888017102923,2.64530198084325,0.0112319421700627,0.0224638843401255,-3.78650878086427,TRUE
"HALLMARK_APICAL_SURFACE",0.165563205935958,-0.0211486720003113,2.56312504765208,0.0138214501385587,0.0265797118049205,-3.97491388960739,TRUE
"HALLMARK_PEROXISOME",-0.182781656818772,-0.0303869996230121,-2.54009423974242,0.0146392546442651,0.0271097308227132,-4.02692763366146,TRUE
"HALLMARK_BILE_ACID_METABOLISM",-0.150003677038634,-0.0314291338229111,-2.49832936324632,0.0162355910772639,0.0289921269236855,-4.12035588416984,TRUE
"HALLMARK_P53_PATHWAY",0.108574843062302,-0.0388160706267857,2.46148290972173,0.0177735232239531,0.0306440055585398,-4.20181245004386,TRUE
"HALLMARK_ANDROGEN_RESPONSE",0.127815826471384,-0.0273333702045518,2.4034225971496,0.0204660010127436,0.034110001687906,-4.32829515997672,TRUE
"HALLMARK_UV_RESPONSE_DN",0.141020342626771,-0.0277269805439288,2.27812932986762,0.0275647073621755,0.0444592054228638,-4.5932557115272,TRUE
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.214962188662072,-0.0371595155967921,2.24255726933686,0.0299459183320554,0.0464589630297417,-4.66644567185367,TRUE
"HALLMARK_KRAS_SIGNALING_DN",0.0953418803225462,-0.00570557987288184,2.23233915943961,0.0306629155996295,0.0464589630297417,-4.68730026747891,TRUE
"HALLMARK_PROTEIN_SECRETION",0.17943801279349,-0.0254491053059318,2.13629464469775,0.0381821290096234,0.0561501897200344,-4.87957719969481,FALSE
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-0.144609211002531,-0.0396110243236727,-1.90904151776359,0.0627069189839929,0.0895813128342756,-5.30670734378154,FALSE
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0702945963074863,-0.0293839533389952,1.738371043102,0.0890491109925832,0.123679320823032,-5.60061861806932,FALSE
"HALLMARK_HEDGEHOG_SIGNALING",0.131060942569654,-0.011012109044755,1.62952567909797,0.110249044267293,0.148985194955801,-5.77551345329368,FALSE
"HALLMARK_XENOBIOTIC_METABOLISM",-0.0863676014785155,-0.025464068103325,-1.54895129049608,0.128464512883091,0.169032253793541,-5.89851347318207,FALSE
"HALLMARK_E2F_TARGETS",0.0767183687747398,-0.0456335921845905,1.28426326901126,0.205684427231066,0.263697983629572,-6.26260241685886,FALSE
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0975892590688567,-0.035795754474805,1.16733306891202,0.249282214590949,0.311602768238687,-6.40335399085177,FALSE
"HALLMARK_MYC_TARGETS_V2",-0.0971395809677295,-0.0471211746457163,-1.05650890336345,0.296427997356583,0.36149755775193,-6.5250714524412,FALSE
"HALLMARK_HEME_METABOLISM",0.0586677631874898,-0.0379459026707984,0.966950247680173,0.338785909581771,0.403316559025918,-6.61499264109472,FALSE
"HALLMARK_SPERMATOGENESIS",0.0227569775899919,-0.0235331197687163,0.636681432745568,0.527588479082331,0.613474975677129,-6.87987836698249,FALSE
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0490584631299908,-0.0306208125080531,0.614857917555371,0.541774616736894,0.615652973564652,-6.89362354381899,FALSE
"HALLMARK_UV_RESPONSE_UP",-0.0164232361775587,-0.0331091100679563,-0.319686355066668,0.750699603379912,0.816353377784728,-7.03291787111659,FALSE
"HALLMARK_GLYCOLYSIS",-0.0168932171559794,-0.0373557687327187,-0.319227600533958,0.75104510756195,0.816353377784728,-7.03306633802757,FALSE
"HALLMARK_NOTCH_SIGNALING",-0.0123383995726494,-0.0369025149115345,-0.217542822204671,0.82877804273956,0.881678768871872,-7.06073066600159,FALSE
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.01771656572845,-0.0253917671817779,0.187779475809382,0.851901688363259,0.887397592045062,-7.06684971964781,FALSE
"HALLMARK_MYOGENESIS",0.00576005361435769,-0.0281379529831827,0.115013123218037,0.908951235313628,0.927501260524111,-7.07802980164082,FALSE
"HALLMARK_MTORC1_SIGNALING",-0.00483454479016421,-0.0211600027960492,-0.0524583165698043,0.958397887666618,0.958397887666618,-7.08334757656876,FALSE
