"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.254038662074876,0.00583610284305776,3.48527953454258,0.00122676481334966,0.0425884308805753,-0.976152416178841
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",-0.252896422170559,-0.011484617208321,-3.24231975403886,0.00242414252441971,0.0425884308805753,-1.58492285723479
"HALLMARK_COMPLEMENT",0.271570923826251,0.0116658171552982,3.22319629084729,0.00255530585283452,0.0425884308805753,-1.63183609884849
"HALLMARK_ALLOGRAFT_REJECTION",0.299405128974889,-0.00276356770954692,2.96553634159105,0.00512410356179852,0.0640512945224815,-2.24824678581095
"HALLMARK_HEME_METABOLISM",0.160991783518043,0.00419528838611622,2.58459146442646,0.0135879287006318,0.135879287006318,-3.09992966816477
"HALLMARK_APOPTOSIS",0.159639686421537,-0.000145477137528495,2.44790936279469,0.0189500804799309,0.139560957368427,-3.38600290858213
"HALLMARK_MITOTIC_SPINDLE",0.156825160102164,0.0098430650128175,2.40591460906398,0.0209479861148772,0.139560957368427,-3.47166203119759
"HALLMARK_IL2_STAT5_SIGNALING",0.205411168650949,0.0053993565592008,2.37894337428283,0.0223297531789483,0.139560957368427,-3.52610760620809
"HALLMARK_HYPOXIA",0.146481861360305,0.0125009463036289,2.11730169268635,0.0406344820805805,0.225747122669892,-4.0301834500653
"HALLMARK_MTORC1_SIGNALING",0.196342866339965,0.00689038051801018,1.98038279750356,0.0547133814932964,0.267852935109798,-4.27566044496415
